,2007 Average Daily Attendance %,2011 Average Daily Attendance %,Trend: Average Daily Attendance %,2004 Students Enrolled in Gifted Programs %,2006 Students Enrolled in Gifted Programs %,2011 Students Enrolled in Gifted Programs %,2013 Students Enrolled in Gifted Programs %,Trend: Students Enrolled in Gifted Programs %,2018 Percentage of HS Drop Outs Age 16-24,2019 8th Grade Reading Scores,2007 Average Base Teacher Salary w/ Bachelors,2011 Average Base Teacher Salary w/ Bachelors,2017 Average Base Teacher Salary w/ Bachelors,Trend: Average Base Teacher Salary w/ Bachelors,2007 Average Base Teacher Salary w/ Masters Constant Dollars,2011 Average Base Teacher Salary w/ Masters Constant Dollars,2017 Average Base Teacher Salary w/ Masters Constant Dollars,Trend: Average Base Teacher Salary w/ Masters Constant Dollars,2005 Teacher Percentage of School Staff,2010 Teacher Percentage of School Staff,2015 Teacher Percentage of School Staff,2018 Teacher Percentage of School Staff,Trend: Teacher Percentage of School Staff,2018 Number of Education Agencies,2006 Average Freshman Graduation Rate,2007 Average Freshman Graduation Rate,2008 Average Freshman Graduation Rate,2009 Average Freshman Graduation Rate,2010 Average Freshman Graduation Rate,2011 Average Freshman Graduation Rate,2012 Average Freshman Graduation Rate,Trend: Average Freshman Graduation Rate,2005 4th Grade Reading Scores,2007 4th Grade Reading Scores,2009 4th Grade Reading Scores,2011 4th Grade Reading Scores,2013 4th Grade Reading Scores,2015 4th Grade Reading Scores,2017 4th Grade Reading Scores,2019 4th Grade Reading Scores,Trend: 4th Grade Reading Scores,2005 8th Grade Math Scores,2007 8th Grade Math Scores,2009 8th Grade Math Scores,2011 8th Grade Math Scores,2013 8th Grade Math Scores,2015 8th Grade Math Scores,2017 8th Grade Math Scores,2019 8th Grade Math Scores,Trend: 8th Grade Math Scores,2005 4th Grade Math Scores,2007 4th Grade Math Scores,2009 4th Grade Math Scores,2011 4th Grade Math Scores,2013 4th Grade Math Scores,2015 4th Grade Math Scores,2017 4th Grade Math Scores,2019 4th Grade Math Scores,Trend: 4th Grade Math Scores,1979 Overall Average Teacher Salary,1989 Overall Average Teacher Salary,1999 Overall Average Teacher Salary,2009 Overall Average Teacher Salary,2017 Overall Average Teacher Salary,2018 Overall Average Teacher Salary,Trend: Overall Average Teacher Salary,2000 % of Public Schools That Are Charters,2010 % of Public Schools That Are Charters,2016 % of Public Schools That Are Charters,2017 % of Public Schools That Are Charters,2018 % of Public Schools That Are Charters,Trend: % of Public Schools That Are Charters,2010 Adjusted Cohort Graduation Rate,2011 Adjusted Cohort Graduation Rate,2012 Adjusted Cohort Graduation Rate,2013 Adjusted Cohort Graduation Rate,2014 Adjusted Cohort Graduation Rate,2015 Adjusted Cohort Graduation Rate,2016 Adjusted Cohort Graduation Rate,2017 Adjusted Cohort Graduation Rate,Trend: Adjusted Cohort Graduation Rate
FL,75.385,42.0,0.539,32.143,29.193,33.758,35.849,8.915,39.623,43.333,38.171,42.271,24.025,-3.39,54.427,50.722,23.656,-11.206,26.449,51.632,39.154,32.305,-1.079,0.415,31.487,32.44,36.628,38.69,34.908,45.783,32.171,2.598,70.0,69.231,75.0,66.667,80.769,71.429,72.414,67.742,0.392,61.702,58.0,55.556,46.154,44.444,35.294,41.935,40.0,0.265,77.778,73.684,69.697,58.065,54.167,60.0,85.0,80.0,0.416,14.967,34.333,33.348,24.0,8.249,6.997,1.59,24.725,26.118,31.846,30.444,31.4,47.065,41.379,53.333,50.0,50.0,40.909,54.545,55.0,77.273,2.794
GA,80.0,64.0,1.072,63.571,57.764,65.605,80.503,13.454,39.623,40.0,38.171,28.07,22.588,-4.179,33.28,33.481,37.247,0.196,22.826,42.136,34.743,34.483,0.274,1.263,28.863,27.976,33.43,36.012,28.609,30.422,11.628,1.61,57.5,56.41,50.0,55.556,61.538,53.571,44.828,45.161,0.271,57.447,54.0,53.333,46.154,38.889,47.059,48.387,40.0,0.366,63.889,55.263,51.515,51.613,45.833,25.0,35.0,40.0,0.246,13.041,30.687,52.092,43.528,29.014,28.682,5.322,8.242,6.353,7.505,8.065,7.4,29.411,27.586,36.667,35.714,40.0,45.455,45.455,50.0,59.091,2.958
HI,60.0,56.0,3.528,40.714,38.509,8.28,18.239,15.213,90.566,26.667,53.291,42.271,41.609,-1.497,54.427,50.722,44.031,-4.04,36.232,51.039,37.684,38.657,-0.625,0.0,61.808,59.524,55.233,52.381,39.37,55.422,40.698,0.597,47.5,41.026,28.125,36.111,34.615,28.571,31.034,45.161,0.539,44.681,42.0,44.444,46.154,44.444,47.059,35.484,24.0,0.482,52.778,52.632,51.515,54.839,58.333,35.0,45.0,45.0,0.557,52.54,49.179,50.151,49.474,32.925,35.18,-1.542,12.637,25.176,23.732,24.798,24.6,94.923,72.414,73.333,71.429,70.0,59.091,63.636,60.0,72.727,0.873
ID,73.077,60.0,1.84,27.857,26.087,18.471,22.013,-0.293,52.83,53.333,31.016,14.035,16.837,-4.168,19.093,0.0,29.428,5.203,45.29,62.611,47.978,47.187,0.72,0.88,76.385,71.726,70.64,77.976,64.304,73.494,56.589,0.369,77.5,66.667,59.375,55.556,50.0,53.571,55.172,61.29,0.067,76.596,72.0,73.333,69.231,58.333,61.765,58.065,68.0,0.254,86.111,71.053,66.667,58.065,50.0,40.0,55.0,60.0,0.001,11.465,11.719,28.226,22.703,10.939,12.856,2.908,7.143,12.471,15.619,16.129,16.8,90.468,68.966,70.0,67.857,53.333,45.455,50.0,45.0,54.545,0.384
IL,85.385,60.0,0.106,38.571,36.025,21.656,42.138,20.679,75.472,50.0,42.626,39.722,34.614,-1.031,74.72,68.582,78.86,1.651,35.87,78.042,33.824,35.572,-0.6,5.766,73.761,72.619,62.209,71.726,55.906,68.072,58.915,0.703,62.5,56.41,53.125,50.0,50.0,53.571,44.828,45.161,0.136,70.213,64.0,62.222,58.974,55.556,55.882,51.613,56.0,0.257,61.111,60.526,57.576,54.839,41.667,30.0,45.0,35.0,0.246,37.442,52.597,75.902,70.862,52.913,52.154,3.26,2.747,2.588,3.043,6.653,6.6,69.091,86.207,76.667,75.0,83.333,77.273,77.273,80.0,81.818,0.517
IN,98.462,96.0,0.209,50.714,49.068,79.618,75.472,22.264,30.189,53.333,26.223,29.593,18.69,-1.992,47.093,28.912,40.725,-1.84,7.971,19.585,15.993,21.053,-2.0,2.328,57.434,53.869,54.942,57.738,55.643,61.747,52.326,1.548,67.5,64.103,65.625,55.556,73.077,71.429,65.517,58.065,0.268,78.723,74.0,73.333,64.103,63.889,70.588,70.968,68.0,0.204,80.556,81.579,72.727,70.968,83.333,85.0,90.0,75.0,0.302,24.408,43.939,55.695,33.996,14.473,13.303,0.606,0.0,7.294,9.736,10.484,10.8,22.339,93.103,90.0,89.286,90.0,81.818,81.818,65.0,86.364,0.356
IA,91.538,92.0,0.949,60.714,50.932,58.599,58.491,3.653,83.019,40.0,12.352,22.741,29.638,7.02,30.107,18.42,42.477,4.778,27.536,43.027,32.169,28.494,-2.82,1.864,94.169,90.476,85.465,89.583,79.528,89.759,84.884,0.557,75.0,71.795,59.375,55.556,69.231,60.714,51.724,54.839,0.007,82.979,74.0,66.667,64.103,55.556,67.647,64.516,52.0,-0.099,80.556,76.316,72.727,67.742,70.833,60.0,70.0,55.0,0.063,21.83,24.924,28.797,32.898,30.769,31.17,3.303,0.0,1.176,0.406,0.403,0.4,-20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.482
KS,96.154,76.0,-0.524,23.571,18.634,17.834,16.352,-6.44,62.264,43.333,20.081,11.95,14.1,-2.001,25.093,18.803,30.735,1.129,28.986,46.884,42.463,36.842,0.138,1.727,71.72,68.452,69.477,79.464,72.966,86.747,81.008,1.949,72.5,71.795,68.75,63.889,65.385,50.0,55.172,48.387,-0.058,82.979,84.0,77.778,76.923,69.444,61.765,61.29,52.0,-0.094,97.222,89.474,78.788,77.419,70.833,50.0,60.0,45.0,-0.407,11.98,34.064,25.759,23.846,12.285,10.482,3.008,0.549,4.235,1.623,1.613,1.4,407.986,82.759,86.667,85.714,83.333,77.273,77.273,80.0,81.818,0.678
KY,78.462,42.0,0.107,92.857,90.683,80.255,98.742,7.901,50.943,43.333,13.939,14.631,9.124,-2.037,31.44,32.272,30.044,-2.012,0.0,21.068,20.956,21.416,-0.377,1.011,64.723,54.762,61.919,65.774,58.268,67.47,60.465,1.433,72.5,64.103,75.0,66.667,69.231,75.0,58.621,54.839,0.074,61.702,62.0,55.556,56.41,44.444,44.118,38.71,36.0,0.211,55.556,55.263,60.606,61.29,50.0,55.0,50.0,45.0,0.492,17.384,22.843,31.856,32.644,20.421,19.496,2.617,0.0,0.0,0.0,0.0,0.0,0.0,68.966,70.0,85.714,90.0,86.364,90.909,95.0,95.455,1.907
LA,56.923,34.0,2.769,27.857,21.118,18.471,25.786,5.138,1.887,23.333,31.083,30.089,20.542,-2.838,21.653,29.679,20.326,-2.607,17.754,38.279,41.912,32.305,0.842,1.093,20.7,22.321,31.977,32.738,32.808,37.349,20.155,2.898,45.0,25.641,15.625,25.0,15.385,32.143,17.241,19.355,0.079,48.936,48.0,40.0,33.333,22.222,14.706,3.226,12.0,0.218,52.778,42.105,30.303,29.032,8.333,15.0,0.0,5.0,0.068,12.435,13.726,17.599,30.693,13.825,13.268,2.911,6.593,12.471,21.907,21.774,22.8,112.749,41.379,43.333,42.857,46.667,40.909,45.455,35.0,54.545,1.914
